iter	Logloss
0	0.6681354975
1	0.6461089762
2	0.6263776521
3	0.6088007442
4	0.5931888487
5	0.5793569449
6	0.5669673129
7	0.5558633758
8	0.5460146382
9	0.5372342578
10	0.5293010444
11	0.5222106764
12	0.5158662459
13	0.5101084642
14	0.5051768257
15	0.5006470785
16	0.4965485937
17	0.4930617229
18	0.4897904009
19	0.4868195909
20	0.484125111
21	0.4817101213
22	0.4795798211
23	0.477557759
24	0.4757404256
25	0.4740910424
26	0.4726615419
27	0.4713621299
28	0.4701693483
29	0.4690694552
30	0.4681077282
31	0.467167903
32	0.4664029359
33	0.4656663734
34	0.4649608162
35	0.4643080099
36	0.4636919285
37	0.4631625966
38	0.4626813466
39	0.4622852549
40	0.4618771197
41	0.461490111
42	0.4611112048
43	0.4607306353
44	0.4604458162
45	0.4601573273
46	0.459883972
47	0.4596108039
48	0.459384521
49	0.4591726275
50	0.4589652056
51	0.4587648828
52	0.458588234
53	0.4584285979
54	0.4582808512
55	0.4581315543
56	0.4579966283
57	0.4578568544
58	0.4577322163
59	0.4576040399
60	0.4574832566
61	0.45736
62	0.4572571382
63	0.4571265337
64	0.4570308923
65	0.4569330592
66	0.4568180016
67	0.4567355942
68	0.4566475103
69	0.4565696484
70	0.4564964145
71	0.456417132
72	0.4563460321
73	0.4562715954
74	0.4561726809
75	0.4560881723
76	0.4560262192
77	0.455942391
78	0.4558678865
79	0.45579956
80	0.4557459396
81	0.455679266
82	0.4556150226
83	0.4555256805
84	0.4554722944
85	0.4554154831
86	0.4553660197
87	0.4553062623
88	0.4552492414
89	0.4551892558
90	0.4551296608
91	0.4550794634
92	0.4550285321
93	0.4549832422
94	0.4549340687
95	0.4548849753
96	0.4548234683
97	0.4547726172
98	0.4547279215
99	0.4546814762
100	0.4546364988
101	0.4545917229
102	0.4545346053
103	0.4544836308
104	0.4544412644
105	0.4543837829
106	0.4543459786
107	0.4543068873
108	0.4542671443
109	0.4542224404
110	0.4541792414
111	0.4541347738
112	0.4540956332
113	0.4540278618
114	0.4539822389
115	0.4539329215
116	0.4538921279
117	0.4538420559
118	0.4538096361
119	0.4537700411
120	0.4537291386
121	0.4536878269
122	0.4536487747
123	0.4536067393
124	0.453573933
125	0.4535272327
126	0.45349706
127	0.4534628043
128	0.4534231682
129	0.4533769243
130	0.4533449116
131	0.4533174239
132	0.4532796711
133	0.4532417763
134	0.4532090975
135	0.453173014
136	0.453139484
137	0.4531050288
138	0.4530826336
139	0.4530537007
140	0.4530286184
141	0.4529904934
142	0.4529557237
143	0.4529130572
144	0.4528607175
145	0.4528290317
146	0.4527794613
147	0.4527327837
148	0.4526999527
149	0.4526747225
150	0.4526422677
151	0.452611324
152	0.4525775514
153	0.4525373026
154	0.4525007484
155	0.4524695703
156	0.4524302817
157	0.4523889659
158	0.4523624013
159	0.4523242619
160	0.4522851069
161	0.4522511822
162	0.4522156723
163	0.4521823869
164	0.4521494387
